USW00014739,20130122,PRCP,0,T,,X,2400
USW00014739,20130122,SNOW,0,T,,X,
USW00014739,20130122,AWND,65,,,X,
USW00014739,20130122,WDF2,300,,,X,
USW00014739,20130122,WDF5,290,,,X,
USW00014739,20130122,WSF2,103,,,X,
USW00014739,20130122,WSF5,139,,,X,
USW00014739,20130122,WT01,1,,,W,
USW00014739,20130122,WT13,1,,,X,
USW00014739,20130122,WT18,1,,,X,
USW00014739,20130123,TMAX,-83,,,X,2400
USW00014739,20130123,TMIN,-133,,,X,2400
USW00014739,20130123,PRCP,0,,,X,2400
USW00014739,20130123,SNOW,0,,,X,
USW00014739,20130123,AWND,67,,,X,
USW00014739,20130123,WDF2,280,,,X,
USW00014739,20130123,WDF5,280,,,X,
USW00014739,20130123,WSF2,112,,,X,
USW00014739,20130123,WSF5,143,,,X,
USW00014739,20130124,TMAX,-61,,,X,2400
USW00014739,20130124,TMIN,-156,,,X,2400
USW00014739,20130124,PRCP,0,,,X,2400
USW00014739,20130124,SNOW,0,,,X,
USW00014739,20130124,AWND,78,,,X,
USW00014739,20130124,WDF2,290,,,X,
USW00014739,20130124,WDF5,290,,,X,
USW00014739,20130124,WSF2,112,,,X,
USW00014739,20130124,WSF5,165,,,X,
USW00014739,20130125,TMAX,-44,,,X,2400
USW00014739,20130125,TMIN,-122,,,X,2400
USW00014739,20130125,PRCP,3,,,X,2400
USW00014739,20130125,SNOW,3,,,X,
USW00014739,20130125,AWND,56,,,X,
USW00014739,20130125,WDF2,290,,,X,
USW00014739,20130125,WDF5,300,,,X,
USW00014739,20130125,WSF2,107,,,X,
USW00014739,20130125,WSF5,134,,,X,
USW00014739,20130125,WT18,1,,,X,
USW00014739,20130126,TMAX,-39,,,X,2400
USW00014739,20130126,TMIN,-106,,,X,2400
USW00014739,20130126,PRCP,3,,,X,2400
USW00014739,20130126,SNOW,5,,,X,
USW00014739,20130126,AWND,54,,,X,
USW00014739,20130126,WDF2,320,,,X,
USW00014739,20130126,WDF5,310,,,X,
USW00014739,20130126,WSF2,107,,,X,
USW00014739,20130126,WSF5,134,,,X,
USW00014739,20130126,WT18,1,,,X,
USW00014739,20130127,TMAX,0,,,X,2400
